StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q41,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q13_1,Q13_2,Q13_3,Q13_4,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10
2024-05-24 12:45:37,2024-05-24 12:53:08,0,100,450,1,2024-05-24 12:53:08,R_8feWmWTeFBTCgty,anonymous,EN,2,3,1,7,3,1,1,1,1,1,1,1,1,1,1,1,,3,1,1,2,2,1,1,1,1,1,1,1,1,1,3,5,4,1,1,1,1,,5,4,4,1,4,4,5,5,,1,1,1,1,1,1,2,2,2,2,1,1,1,1,4,3,5,5,5,5,5,5,5,5,5,5
2024-05-24 12:49:19,2024-05-24 12:54:30,0,100,310,1,2024-05-24 12:54:30,R_88lYxezZky3muWZ,anonymous,EN,1,4,1,3,4,3,1,1,1,1,1,1,1,1,1,1,,3,3,4,1,1,1,5,4,3,5,2,1,1,1,2,5,3,1,1,2,1,,3,5,5,4,2,3,4,1,,1,1,1,1,1,1,3,1,1,3,3,5,5,1,2,2,5,5,5,5,4,4,2,1,5,5
2024-05-24 12:51:37,2024-05-24 12:56:19,0,100,281,1,2024-05-24 12:56:21,R_243nfF9f5qmPMPv,anonymous,EN,1,2,1,3,3,1,1,1,1,1,1,1,1,1,1,1,,3,2,2,1,4,4,2,5,1,1,1,1,1,1,1,5,1,1,1,3,1,Recipes,5,3,3,3,2,5,4,4,,1,1,1,1,1,1,4,1,1,2,2,4,4,1,4,5,5,4,4,2,4,4,4,5,2,3
2024-05-24 13:05:20,2024-05-24 13:14:26,0,100,545,1,2024-05-24 13:14:26,R_8TRiE8ISE0TpYQw,anonymous,EN,2,2,1,7,2,1,2,2,1,1,1,1,1,1,1,1,,3,2,2,4,3,3,2,4,2,3,1,1,1,1,1,5,1,1,1,1,1,"Creating different explainations for students; Find new rhymes in poetry; Write birthdaycards with new creative phrases (not just ""happy birthday"")",4,4,4,3,4,2,2,1,,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5,4,5,5,4,4,3,3,4,5,3,3
2024-05-24 13:10:16,2024-05-24 13:17:25,0,100,429,1,2024-05-24 13:17:25,R_8ah3s0JBK2h8ZEJ,anonymous,EN,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,this-person-does-not-exist.com,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,,4,4,4,1,1,4,3,4,The ineffectiveness of search engines like google recently,1,2,1,1,1,2,4,4,3,5,4,4,1,1,5,5,4,2,4,3,4,4,5,5,2,4
2024-05-24 13:14:03,2024-05-24 13:25:57,0,100,713,1,2024-05-24 13:25:57,R_10xRKFGGQxnEz7P,anonymous,EN,1,2,1,3,3,3,1,1,2,3,1,1,1,1,1,2,,4,2,3,1,3,2,2,2,2,2,1,1,1,1,2,5,1,1,1,2,1,,4,4,3,4,4,3,5,3,,1,2,1,1,2,1,3,2,1,2,3,4,3,1,3,4,4,4,4,3,3,4,4,4,3,4
2024-05-24 13:22:30,2024-05-24 13:30:08,0,100,457,1,2024-05-24 13:30:08,R_8O65ai1efAwwvuT,anonymous,EN,1,2,1,3,4,2,1,1,1,1,1,1,1,1,1,2,,5,3,3,2,1,1,1,3,1,1,1,2,2,1,3,5,1,1,1,1,1,,5,5,5,4,5,5,5,4,,2,2,1,2,1,1,2,1,1,3,3,3,3,1,3,3,4,5,4,4,5,5,4,4,4,3
2024-05-24 13:40:38,2024-05-24 13:44:02,0,100,204,1,2024-05-24 13:44:03,R_2s78jLKOSFQq47p,anonymous,EN,1,2,1,3,3,3,1,1,1,1,1,1,1,1,1,1,,5,5,5,5,4,4,1,2,5,5,1,1,1,1,3,5,1,1,2,3,1,,4,3,1,2,1,4,4,4,,1,1,1,1,1,1,1,3,2,4,2,4,5,1,4,4,3,4,2,1,5,4,4,5,5,5
2024-05-24 14:13:42,2024-05-24 14:21:27,0,100,465,1,2024-05-24 14:21:27,R_2jdLdiiBzIji75G,anonymous,EN,1,2,4,4,1,2,1,1,1,1,1,1,1,1,1,1,,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,,4,4,4,3,3,2,4,3,,1,1,1,1,1,1,3,2,2,3,3,2,2,1,3,3,2,2,1,1,5,4,4,4,4,3
2024-05-24 14:22:11,2024-05-24 14:28:45,0,100,394,1,2024-05-24 14:28:46,R_2R83m8F2ZILGPsX,anonymous,EN,1,2,1,7,4,1,1,1,1,1,1,1,1,2,1,1,,4,2,3,3,4,4,2,4,4,4,4,3,3,4,2,5,3,3,4,4,3,,1,5,3,5,4,5,4,3,,5,4,3,4,4,2,4,4,4,5,4,5,5,1,4,5,5,4,4,4,5,5,4,4,4,2
2024-05-24 14:18:48,2024-05-24 14:28:46,0,100,597,1,2024-05-24 14:28:46,R_8YaDnUY8VJ3yHdx,anonymous,EN,1,2,1,3,4,4,1,1,1,1,1,1,1,1,1,1,ChatGPT,4,3,3,1,2,2,2,3,1,1,2,1,1,1,2,5,1,1,2,3,1,To help me structure a paragraph or section in my writing,5,4,3,3,4,4,5,5,,1,1,4,1,1,1,2,2,1,4,4,4,2,1,3,3,5,3,1,1,5,5,5,5,3,4
2024-05-24 17:13:26,2024-05-24 17:20:51,0,100,445,1,2024-05-24 17:20:51,R_8CNhZuNAuOfV3jg,anonymous,EN,1,2,1,7,2,1,1,1,1,1,1,1,1,1,1,1,,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,5,3,1,2,1,1,,2,2,2,1,2,3,3,1,,1,1,1,1,2,1,1,1,1,1,1,3,4,1,5,3,5,5,4,1,3,3,3,4,4,5
2024-05-24 21:56:19,2024-05-24 22:03:44,0,100,445,1,2024-05-24 22:03:45,R_21YrwZmqNkfI30K,anonymous,EN,2,2,1,7,3,1,1,1,1,1,1,1,1,1,1,1,,3,4,4,1,1,1,1,1,1,1,1,1,1,1,3,5,2,1,1,1,1,,4,3,4,4,2,2,5,3,,1,1,1,1,1,1,4,4,1,4,2,5,2,1,5,4,5,5,4,2,5,5,4,4,4,4
2024-05-25 00:28:20,2024-05-25 00:35:21,0,100,421,1,2024-05-25 00:35:21,R_2qtN7eClzNrBvP3,anonymous,EN,1,2,1,3,3,3,1,1,1,1,1,1,1,1,1,1,,4,4,3,1,4,4,4,4,5,4,5,1,1,1,1,5,1,1,1,4,1,,3,2,2,3,2,4,4,2,,4,1,1,1,1,1,1,4,2,4,4,5,5,1,2,4,5,5,3,1,5,5,5,3,4,4
2024-05-25 06:58:38,2024-05-25 07:04:43,0,100,365,1,2024-05-25 07:04:44,R_2VQi50SrCVfA0Ap,anonymous,EN,1,2,1,3,3,2,1,1,1,1,1,1,1,3,1,1,Perplexity,5,5,5,4,5,5,2,1,3,1,2,1,1,2,1,5,2,1,2,1,1,,5,5,4,4,3,5,4,3,,1,1,1,1,1,1,1,1,1,4,4,5,4,1,4,4,5,5,2,1,5,4,4,4,3,4
2024-05-25 10:31:13,2024-05-25 10:39:33,0,100,500,1,2024-05-25 10:39:34,R_2w05AMhv87rBzJp,anonymous,EN,2,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,,3,3,3,3,3,3,3,3,,1,4,4,1,1,1,2,1,1,4,2,5,2,1,5,4,1,2,4,2,5,5,4,5,4,5
2024-05-26 02:35:16,2024-05-26 02:47:14,0,100,718,1,2024-05-26 02:47:14,R_2KxLycHEAhS8sxs,anonymous,EN,2,2,1,7,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,,5,5,5,4,4,5,5,1,,1,1,3,1,1,1,4,1,1,1,4,5,4,1,4,4,5,5,5,4,2,1,5,5,5,5
2024-05-26 02:53:20,2024-05-26 02:57:39,0,100,258,1,2024-05-26 02:57:39,R_2Y3BxmBq8VCawYT,anonymous,EN,1,2,1,3,4,1,1,1,1,1,1,1,1,1,1,1,,4,4,4,1,1,1,1,1,1,1,1,1,1,3,1,5,2,1,1,3,1,,4,2,2,2,4,4,4,3,,1,1,1,1,1,1,4,1,1,2,2,3,3,1,1,2,5,5,3,3,3,4,4,4,4,4
2024-05-26 03:48:02,2024-05-26 03:52:42,0,100,280,1,2024-05-26 03:52:43,R_2NsFCFsos5qqvnP,anonymous,EN,1,2,1,3,2,3,1,1,1,1,1,1,1,1,1,1,,3,4,3,1,3,3,1,1,1,1,1,3,1,3,2,5,1,1,1,1,1,,5,4,4,3,2,4,3,4,,1,1,1,1,1,1,3,1,1,4,4,5,5,1,4,5,5,5,4,1,4,4,4,4,5,5
2024-05-26 04:50:17,2024-05-26 04:59:11,0,100,534,1,2024-05-26 04:59:12,R_2Ol967Xe6YQyjPU,anonymous,EN,1,2,1,3,2,1,1,1,1,1,1,1,1,2,1,1,,4,4,5,2,2,2,1,1,1,1,3,1,1,1,1,5,1,1,2,5,1,,4,5,5,3,3,4,4,5,,1,1,3,1,2,1,4,4,1,5,3,1,1,1,4,3,4,4,1,4,5,5,4,1,3,5
2024-05-26 10:05:48,2024-05-26 10:09:12,0,100,203,1,2024-05-26 10:09:13,R_8OrEwZueOUB43na,anonymous,EN,1,2,1,2,4,1,1,1,1,1,1,1,1,4,1,1,,1,2,4,1,5,5,1,1,1,2,1,3,1,1,1,5,1,1,1,5,1,,5,3,4,1,1,5,2,5,,1,1,1,1,1,1,4,1,5,1,1,1,1,1,5,5,3,5,1,1,1,4,2,1,1,1
2024-05-26 10:55:27,2024-05-26 11:00:47,0,100,319,1,2024-05-26 11:00:47,R_8AElIQV1Y5YYpTR,anonymous,EN,1,2,1,3,3,2,1,1,1,1,1,1,1,1,1,2,Scite.ai,4,3,3,1,4,4,5,5,4,4,4,1,1,2,2,5,1,2,1,4,1,,5,5,5,5,2,5,5,4,,1,1,1,1,1,1,4,1,1,2,2,2,2,1,4,4,5,5,3,2,5,5,5,5,3,4
2024-05-26 12:25:44,2024-05-26 12:33:06,0,100,442,1,2024-05-26 12:33:07,R_8qsWjAswQrAB0pm,anonymous,EN,1,2,2,6,3,1,1,1,1,1,1,1,1,1,1,1,,4,3,2,1,4,3,4,2,3,3,1,1,1,1,1,5,1,1,1,1,1,"For translation, especially to discuss nuances (for languages that I’m already fluent in but have a hesitation)",5,4,3,4,5,2,3,1,,4,1,1,1,4,1,1,2,1,4,4,3,4,1,2,1,4,3,2,1,4,4,2,4,4,4
2024-05-26 23:54:39,2024-05-27 00:00:18,0,100,338,1,2024-05-27 00:00:19,R_2bk9uUZzBSN3SI9,anonymous,EN,1,2,4,4,1,4,1,1,1,1,1,3,1,1,1,1,,3,3,1,3,4,4,1,1,2,1,1,1,1,1,1,5,1,1,1,1,1,,4,4,4,2,1,4,4,4,,2,1,1,1,1,1,2,1,1,4,4,4,2,1,5,4,5,5,3,2,5,5,5,5,3,5
2024-05-27 00:28:46,2024-05-27 06:17:31,0,100,20924,1,2024-05-27 06:17:32,R_2nPZObUQiLkmhNM,anonymous,EN,1,2,4,3,3,4,1,1,1,1,1,1,1,1,1,1,,3,2,2,1,4,4,1,3,1,1,3,1,1,1,2,5,1,1,1,2,1,For writing help and ideas,4,3,3,4,4,4,4,1,,1,1,1,1,1,1,2,1,1,3,1,4,5,1,3,3,5,5,4,1,4,4,4,4,2,3
2024-05-27 10:50:47,2024-05-27 10:57:21,0,100,394,1,2024-05-27 10:57:22,R_813a6oHnc4XXVbr,anonymous,EN,4,1,2,7,4,2,1,1,1,1,1,1,1,1,1,1,Github Copilot,3,2,4,1,1,1,2,2,1,1,4,1,1,1,3,5,4,1,1,1,1,Obtaining instructions for configuration of systems/servers,4,4,2,5,4,5,4,1,,1,1,1,1,1,1,1,1,1,1,1,3,4,1,5,5,4,4,4,4,2,4,5,4,2,3
2024-05-27 11:38:20,2024-05-27 11:41:31,0,100,190,1,2024-05-27 11:41:31,R_5U9mENCzIeDZIoB,anonymous,EN,3,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,,4,4,3,2,4,3,3,2,3,3,3,1,1,1,3,5,2,1,1,3,2,,5,5,5,5,5,5,5,5,,1,3,3,3,1,3,3,1,4,2,4,5,5,1,5,5,5,5,5,3,5,5,5,5,5,5
2024-05-27 12:17:34,2024-05-27 12:24:22,0,100,408,1,2024-05-27 12:24:22,R_6y453g12zpaxcJP,anonymous,EN,3,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,,3,5,4,4,2,2,1,1,2,1,1,1,1,1,3,5,1,1,1,2,1,"I use it as a tutor and to provide hints or clarification.  Also I WILL ask if my answer is correct and to assist me with hints if I'm wrong.  I'm here to learn, not be told. ",2,1,1,4,2,1,5,1,"I use it to increase study efficiency.  Material I don't understand, we can pinpoint study that specific area in depth.  Definitely not making it easier. ",1,1,1,1,1,1,1,1,1,2,4,5,3,1,2,5,4,4,2,1,4,5,1,3,3,5
2024-05-27 13:05:41,2024-05-27 13:11:15,0,100,334,1,2024-05-27 13:11:15,R_8VwNjCNUb94yn5M,anonymous,EN,1,2,2,6,2,1,1,1,1,1,1,1,1,1,1,1,CatGPT (amazing you should try); Google AI,3,3,2,1,1,1,1,1,2,2,1,1,1,1,1,5,1,1,1,1,1,Fun?,4,2,2,1,3,4,2,2,,1,1,1,1,1,1,1,1,1,4,2,5,4,1,4,5,5,5,5,5,2,5,4,4,2,4
2024-05-27 13:06:57,2024-05-27 13:19:26,0,100,748,1,2024-05-27 13:19:27,R_4OiE74gmxoQ9prG,anonymous,EN,2,1,1,7,4,1,1,2,1,1,1,1,1,1,1,1,,4,4,2,3,3,4,4,2,2,2,4,2,2,2,2,5,2,1,1,1,1,,4,4,4,4,3,4,4,4,,2,1,4,2,1,2,3,2,2,2,4,5,4,1,4,4,4,4,4,3,3,5,4,4,4,5
2024-05-27 14:27:46,2024-05-27 14:34:08,0,100,382,1,2024-05-27 14:34:09,R_8d8Og9Vupsfp8D7,anonymous,EN,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,,2,4,4,1,3,4,1,1,1,1,1,1,1,1,1,5,1,1,1,3,1,,2,4,3,4,3,5,4,1,,1,1,1,4,3,1,4,1,1,1,1,5,4,1,5,4,3,3,4,4,2,4,5,5,3,4
